ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc,date_stamp
EBBGF,ENBRIDGE  CUM PREF SR 1,otc,us,OTC Link,PFD,True,USD,,,,2025-07-01T06:57:56.225Z,2025-11-06
EBBNF,ENBRIDGE INC CUM PREF L,otc,us,OTC Link,PFD,True,USD,,,,2025-07-01T06:57:55.929Z,2025-11-06
EBCOF,EBARA CORP ORD,otc,us,OTC Link,OS,True,USD,,,,2023-06-28T08:45:16.807Z,2025-11-06
EBCOY,EBARA CORP UNSP/ADR,otc,us,OTC Link,ADRC,True,USD,,BBG000BRL7R9,BBG001S6LP95,2025-04-08T05:00:56.019Z,2025-11-06
EBCRY,EMBRACER GRP AB U/ADR,otc,us,OTC Link,ADRC,True,USD,,BBG01G02HMS1,BBG01G02HNN4,2025-04-08T05:00:56.252Z,2025-11-06
EBET,EBET INC,otc,us,OTC Link,CS,True,USD,,BBG00ZLGHH52,BBG00ZLGHH61,2024-10-16T06:56:31.44Z,2025-11-06
EBFI,ECO BRIGHT FUTURE,otc,us,OTC Link,CS,True,USD,,BBG01GSG5SW5,BBG01GSG5TR9,2025-08-12T14:43:42.348Z,2025-11-06
EBGEF,ENBRIDGE INC RE PRF SER 5,otc,us,OTC Link,PFD,True,USD,,,,2025-07-01T06:57:56.116Z,2025-11-06
EBKDY,ERSTE GROUP BANK AG S/ADR,otc,us,OTC Link,ADRC,True,USD,,BBG000BRR3N6,BBG001SGNQG1,2025-07-01T06:58:27.227Z,2025-11-06
EBKOF,ERSTE GROUP BK AG ORD,otc,us,OTC Link,OS,True,USD,,,,2025-07-01T06:58:27.179Z,2025-11-06
EBLMY,ETABLISSEMENTS UNSP/ADR,otc,us,OTC Link,ADRC,True,USD,,BBG00C78RB22,BBG00C78RBS4,2025-04-08T05:00:56.626Z,2025-11-06
EBODF,NEW ENERGY EXCHANGE LTD,otc,us,OTC Link,OS,True,USD,,,,2023-10-11T21:27:59.959Z,2025-11-06
EBOSF,EBOS GROUP LTD ORD,otc,us,OTC Link,OS,True,USD,,,,2025-07-01T07:00:01.423Z,2025-11-06
EBOSY,EBOS GROUP LTD S/ADR,otc,us,OTC Link,ADRC,True,USD,,BBG0027BVXW1,BBG0027BVYM0,2025-07-01T07:00:01.365Z,2025-11-06
EBQLF,EBIQUITY PLC,otc,us,OTC Link,OS,True,USD,,,,2025-07-01T07:01:33.305Z,2025-11-06
EBRCZ,EBR SYS INC,otc,us,OTC Link,OTHER,True,USD,,,,2025-07-01T07:01:21.254Z,2025-11-06
EBRGF,ENBRIDGE CUM RED PFD B,otc,us,OTC Link,PFD,True,USD,,,,2025-07-01T06:57:55.993Z,2025-11-06
EBRPF,EBRO FOODS SA,otc,us,OTC Link,OS,True,USD,,,,2025-07-01T06:59:35.768Z,2025-11-06
EBRZF,ENBRIDGE INC CUM PREF D,otc,us,OTC Link,PFD,True,USD,,,,2025-07-01T06:57:56.055Z,2025-11-06
EBSH,EMPIRE BANCSHARES INC,otc,us,OTC Link,CS,True,USD,,BBG000GLPP48,BBG001S8WWL0,2025-09-08T21:01:41.916Z,2025-11-06
EBWK,ENIGMA-BULWARK LTD,otc,us,OTC Link,CS,True,USD,,BBG000D23VV4,BBG001SMC629,2023-10-11T21:28:08.959Z,2025-11-06
EBYH,E-BUY HOME INC,otc,us,OTC Link,CS,True,USD,,BBG000BKG2D6,BBG001S8YJ28,2025-08-04T21:25:35.455Z,2025-11-06
EBZT,EVERYTHING BLOCKCHAIN INC,otc,us,OTC Link,CS,True,USD,,BBG00J03L8K8,BBG00J03L980,2025-06-24T06:58:25.098Z,2025-11-06
ECAOF,ECO ATLANTIC OIL&GAS ORD,otc,us,OTC Link,OS,True,USD,,BBG002RRKQ60,BBG001T0GKK1,2025-07-01T07:00:03.928Z,2025-11-06
ECCE,EAGLE FORD OIL & GAS INC,otc,us,OTC Link,CS,True,USD,,BBG000CW7XN0,BBG001SM73S4,2023-10-11T21:27:55.659Z,2025-11-06
ECCI,ECOLOCLEAN INDUSTRIES INC,otc,us,OTC Link,CS,True,USD,,BBG000CWY1Y8,BBG001SGRY43,2023-04-17T05:00:43.852Z,2025-11-06
ECDD,ECRID INC,otc,us,OTC Link,CS,True,USD,,BBG000F1JRK8,BBG001S999Q0,2025-05-05T05:00:37.893Z,2025-11-06
ECDP,ECO DEPOT INC,otc,us,OTC Link,CS,True,USD,,BBG000P33TZ0,BBG001SQW4R6,2025-08-19T06:58:24.83Z,2025-11-06
ECELF,EUROCELL PLC,otc,us,OTC Link,OS,True,USD,,,,2025-07-01T07:00:48.866Z,2025-11-06
ECEZ,ECOSCIENCES INC,otc,us,OTC Link,CS,True,USD,,BBG002BB8J53,BBG002BB8JX2,2023-10-17T09:51:56.224Z,2025-11-06
ECGFF,ECOGRAF LTD,otc,us,OTC Link,OS,True,USD,,,,2025-07-01T07:01:29.795Z,2025-11-06
ECGI,ECGI HOLDINGS INC,otc,us,OTC Link,CS,True,USD,,BBG000QW9VG5,BBG001SSRDW2,2025-07-02T06:55:22.827Z,2025-11-06
ECGP,ENVIT CAPITAL GROUP INC,otc,us,OTC Link,CS,True,USD,,BBG000HML6H7,BBG001S9H1V2,2022-01-06T06:02:12.633Z,2025-11-06
ECGS,ECO-GROWTH STRATEGIES INC,otc,us,OTC Link,CS,True,USD,,BBG000CY8M59,BBG001SCPH78,2025-07-24T20:11:57.628Z,2025-11-06
ECHQF,ECHOIQ LTD,otc,us,OTC Link,OS,True,USD,,,,2025-09-09T18:27:46.754Z,2025-11-06
ECHXF,ECHO TRADING CO LTD,otc,us,OTC Link,OS,True,USD,,,,2025-09-23T06:55:19.863Z,2025-11-06
